Sample	cat16-85.trees	cat16-85.sequence09_sequence06_sequence08_sequence15	cat16-85.sequence01_sequence04_sequence12_sequence13_sequence02_sequence10	cat16-85.sequence14_sequence11_sequence16	cat16-85.sequence05_sequence14_sequence07_sequence11_sequence03	cat16-85.sequence05_sequence07_sequence16_sequence03	
461	28.0	1.0	1.0	0.0	1.0	0.0	
462	28.0	1.0	1.0	0.0	1.0	0.0	
463	28.0	1.0	1.0	0.0	1.0	0.0	
464	30.0	1.0	1.0	1.0	0.0	0.0	
465	28.0	1.0	1.0	0.0	1.0	0.0	
466	30.0	1.0	1.0	1.0	0.0	0.0	
467	28.0	1.0	1.0	0.0	1.0	0.0	
468	28.0	1.0	1.0	0.0	1.0	0.0	
469	30.0	1.0	1.0	1.0	0.0	0.0	
470	28.0	1.0	1.0	0.0	1.0	0.0	
471	28.0	1.0	1.0	0.0	1.0	0.0	
472	28.0	1.0	1.0	0.0	1.0	0.0	
473	28.0	1.0	1.0	0.0	1.0	0.0	
474	28.0	1.0	1.0	0.0	1.0	0.0	
475	30.0	1.0	1.0	1.0	0.0	0.0	
476	28.0	1.0	1.0	0.0	1.0	0.0	
477	30.0	1.0	1.0	1.0	0.0	0.0	
