Sample	cat16-77.trees	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence16_sequence09_sequence15	cat16-77.sequence01_sequence16	cat16-77.sequence05_sequence11_sequence12_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence09_sequence15	cat16-77.sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-77.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
257	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
258	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
259	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
260	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
261	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
262	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
263	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
264	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
265	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
266	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
267	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
268	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
269	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
270	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
271	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
272	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
273	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
274	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
275	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
276	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
277	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
278	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
279	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
280	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
