Sample	cat16-74.trees	cat16-74.sequence01_sequence04_sequence14_sequence11_sequence12_sequence03_sequence10	cat16-74.sequence04_sequence14_sequence12_sequence02	cat16-74.sequence11_sequence10	cat16-74.sequence13_sequence08_sequence15	cat16-74.sequence01_sequence03_sequence10	cat16-74.sequence01_sequence11_sequence03	cat16-74.sequence01_sequence11_sequence02_sequence03_sequence10	
347	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
348	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
349	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
350	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
351	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
352	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
353	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
354	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
355	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
356	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
357	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
358	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
359	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
360	26.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
