Sample	cat16-39.trees	cat16-39.sequence04_sequence11_sequence16_sequence03	cat16-39.sequence01_sequence11_sequence12_sequence13_sequence09_sequence06_sequence08_sequence15	cat16-39.sequence01_sequence04_sequence12_sequence13_sequence16_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-39.sequence05_sequence07_sequence02_sequence10	cat16-39.sequence05_sequence14_sequence07_sequence02_sequence10	cat16-39.sequence05_sequence14_sequence02_sequence10	cat16-39.sequence14_sequence07	cat16-39.sequence12_sequence06	cat16-39.sequence01_sequence12	cat16-39.sequence01_sequence06	
223	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
224	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
225	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
226	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
227	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
228	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
229	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
230	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
231	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
232	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
233	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
234	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
235	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
236	26.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
237	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
238	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
239	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
240	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
241	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
242	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
243	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
244	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
245	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
246	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	
247	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
248	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
249	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
250	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	
251	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	
252	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
253	26.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
