Sample	cat16-10.trees	cat16-10.sequence01_sequence04_sequence13_sequence16_sequence15	cat16-10.sequence12_sequence09_sequence06	cat16-10.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-10.sequence05_sequence14_sequence12_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-10.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence15	
409	28.0	1.0	1.0	0.0	1.0	0.0	
410	28.0	1.0	1.0	0.0	1.0	0.0	
411	30.0	1.0	1.0	0.0	0.0	1.0	
412	28.0	1.0	1.0	1.0	0.0	0.0	
413	28.0	1.0	1.0	1.0	0.0	0.0	
414	28.0	1.0	1.0	1.0	0.0	0.0	
415	30.0	1.0	1.0	0.0	0.0	1.0	
416	30.0	1.0	1.0	0.0	0.0	1.0	
417	28.0	1.0	1.0	1.0	0.0	0.0	
418	28.0	1.0	1.0	0.0	1.0	0.0	
419	30.0	1.0	1.0	0.0	0.0	1.0	
420	28.0	1.0	1.0	0.0	1.0	0.0	
421	30.0	1.0	1.0	0.0	0.0	1.0	
422	30.0	1.0	1.0	0.0	0.0	1.0	
423	28.0	1.0	1.0	1.0	0.0	0.0	
424	28.0	1.0	1.0	0.0	1.0	0.0	
425	30.0	1.0	1.0	0.0	0.0	1.0	
426	28.0	1.0	1.0	0.0	1.0	0.0	
427	28.0	1.0	1.0	1.0	0.0	0.0	
428	28.0	1.0	1.0	0.0	1.0	0.0	
429	30.0	1.0	1.0	0.0	0.0	1.0	
430	30.0	1.0	1.0	0.0	0.0	1.0	
431	28.0	1.0	1.0	1.0	0.0	0.0	
432	28.0	1.0	1.0	1.0	0.0	0.0	
433	28.0	1.0	1.0	0.0	1.0	0.0	
434	28.0	1.0	1.0	0.0	1.0	0.0	
435	28.0	1.0	1.0	0.0	1.0	0.0	
436	28.0	1.0	1.0	1.0	0.0	0.0	
